"","AJOR_UW153152_S416","AJOR_UW155714_S474","AOPE_UW159762_S478","ATAN_UW150813_S404","AUNA_UW150790_S402","AUNA_UW150804_S403","AUNG_UW111933_S440","CAMB_UW152101_S459","CAMB_UW154478_S467","CAMB_UW158238_S448","CBOW_UW116034_S483","CBOW_UW119291_S389","CCAN_UW152005_S458","CCOL_UW119446_3_S392","CCOM_UW113669_S480","CCUR_UW153150_S469","CCYC_UW150847_S408","CCYC_UW151026_S409","CCYP_UW117988_S445","CCYP_UW119289_S388","CECT_UW150772_S401","CECT_UW153151_S464","CFAU_UW117078_S443","CFAU_UW156084_S475","CFUR_UW119389_2_S391","CFUR_UW150838_S405","CGIL_UW154885_S425","CGIL_UW154932_S427","CIAC_FAKU145603_S449","CLER_UW117918_S444","CLYC_UW159763_S468","CMEL_UW150588_S399","CMEL_UW153307_2_S418","CMEL_UW154677_S424","COST_UW49435_S479","CPHA_UW151261_S457","CSCO_UW151302_S411","CSCO_UW151304_S412","CSIM_UW154482_2_S421","CSIM_UW154482_3_S422","CSPA_UW154503_S471","CSPA_UW155710_S430","CSPA_UW158306_S477","CSPM_UW155719_S413","CSTA_UW119196_S386","CSTA_UW155711_S387","ECAU_UW119593_2_S394","ECAU_UW119593_S393","EORB_UW119821_S397","EORB_UW151223_S410","ETRE_UW150845_2_S406","ETRE_UW150845_3_S407","LCAL_UW157321_S432","LCAL_UW158059_S447","LCUR_UW44503_3_S438","LCUR_UW44504_S439","LCYC_UW151759_S455","LDEN_UW155676_4_S473","LDEN_UW155676_5_S429","LFAB_UW153118_S462","LFAB_UW153122_S463","LFLE_UW119829_S398","LFLE_UW159752_S433","LFLO_UW151666_S454","LFUC_UW155026_S428","LGIB_UW153834_2_S466","LGIB_UW153834_S465","LGRE_UW112669_S441","LMAR_UW153108_S461","LMAR_UW153127_S415","LNAN_UW119179_2_S452","LNAN_UW119179_3_S453","LOCH_UW49438_S434","LPUL_UW115848_S482","LSIM_UW44502_S437","LTUN_UW153126_S456","LTUN_UW154464_S420","NPEL_UW155470_S472","PALB_UW151419_S414","PCEP_UW153529_S470","PCOP_UW118898_S451","PDAC_UW153045_S460","PDAC_UW154897_S426","PGAR_UW118897_S446","PGRA_UW119304_S390","PGRA_UW155715_S431","PHOL_UW153155_S417","PMEN_UW115470_S481","PMEN_UW150606_S400","PPEC_UW153526_2_S423","PPEN_UW119192_S385","PPTY_UW116036_S442","PROS_UW153323_S419","PULO_UW119776_S395","PULO_UW119777_S396","RATT_UW116039_S450","RBAR_UW157184_S476"
"AJOR_UW153152_S416",0,2369,2341,2394,2407,2421,1963,2411,2381,1757,2367,2367,1699,2394,2339,2275,2393,2283,2124,2387,2401,2393,2194,2303,2408,2399,1784,1794,1887,2086,725,2307,2171,2144,2395,2416,2024,1814,2127,2275,2395,1999,2404,374,1889,1559,2396,2321,2178,2382,2364,2397,1739,1449,2407,2161,2335,2213,2166,2308,2173,2365,1622,2354,2047,2401,2395,2372,2410,2282,2255,2337,1983,2291,2383,2401,2164,2232,2013,2318,2397,2417,1671,2232,2375,1815,2024,2117,2390,2040,1981,1939,1849,2192,2003,1622,2209
"AJOR_UW155714_S474",2369,0,2630,2710,2736,2751,2099,2765,2679,1858,2654,2673,1780,2721,2644,2527,2712,2510,2310,2692,2730,2717,2433,2593,2741,2714,1863,1868,2000,2278,726,2587,2371,2328,2731,2759,2146,1896,2314,2520,2726,2147,2740,373,2023,1618,2697,2602,2382,2674,2659,2707,1811,1499,2751,2390,2626,2438,2350,2598,2407,2675,1702,2660,2214,2729,2734,2694,2755,2521,2497,2623,2136,2557,2722,2744,2370,2482,2164,2625,2724,2758,1746,2494,2685,1904,2190,2322,2697,2211,2142,2090,1959,2413,2165,1670,2445
"AOPE_UW159762_S478",2341,2630,0,2670,2698,2707,2095,2710,2642,1843,2616,2642,1785,2676,2606,2497,2672,2487,2287,2658,2695,2673,2408,2548,2697,2674,1861,1866,2000,2266,734,2549,2349,2319,2686,2711,2137,1884,2303,2495,2687,2130,2691,374,2005,1612,2659,2577,2367,2633,2625,2674,1807,1504,2704,2357,2590,2400,2324,2554,2380,2640,1686,2615,2201,2679,2683,2648,2705,2501,2465,2583,2121,2527,2678,2698,2353,2463,2149,2575,2685,2714,1738,2458,2646,1905,2176,2312,2658,2189,2130,2073,1935,2392,2155,1674,2418
"ATAN_UW150813_S404",2394,2710,2670,0,2778,2790,2123,2802,2713,1868,2689,2714,1793,2761,2676,2544,2753,2542,2335,2735,2775,2750,2447,2611,2774,2750,1875,1897,2008,2302,731,2618,2394,2368,2762,2795,2176,1914,2336,2548,2764,2164,2774,375,2040,1629,2730,2637,2421,2715,2696,2749,1815,1511,2788,2410,2660,2447,2376,2622,2431,2714,1713,2686,2230,2764,2769,2727,2794,2565,2524,2650,2163,2587,2757,2780,2397,2511,2194,2659,2762,2794,1751,2512,2734,1920,2221,2348,2737,2226,2159,2101,1968,2440,2192,1680,2460
"AUNA_UW150790_S402",2407,2736,2698,2778,0,2823,2134,2832,2740,1872,2715,2744,1798,2797,2699,2572,2782,2569,2356,2767,2804,2784,2474,2637,2811,2782,1877,1897,2028,2324,729,2647,2407,2381,2794,2831,2183,1909,2355,2569,2797,2178,2807,374,2049,1635,2766,2673,2442,2742,2725,2779,1825,1512,2818,2432,2687,2471,2389,2652,2453,2744,1717,2711,2249,2794,2804,2754,2827,2590,2552,2673,2169,2613,2794,2812,2416,2531,2208,2679,2794,2829,1750,2546,2752,1932,2237,2370,2770,2252,2177,2120,1966,2456,2210,1690,2481
"AUNA_UW150804_S403",2421,2751,2707,2790,2823,0,2150,2847,2751,1878,2730,2755,1804,2805,2711,2580,2801,2579,2365,2773,2819,2797,2487,2653,2822,2795,1892,1906,2033,2332,736,2659,2417,2385,2804,2846,2189,1924,2362,2586,2814,2179,2821,377,2056,1637,2780,2681,2447,2753,2742,2795,1831,1520,2834,2442,2698,2479,2402,2664,2459,2754,1725,2724,2258,2807,2816,2771,2838,2598,2558,2697,2175,2617,2803,2827,2424,2543,2215,2692,2806,2846,1759,2550,2769,1942,2241,2375,2784,2260,2185,2122,1976,2472,2219,1691,2494
"AUNG_UW111933_S440",1963,2099,2095,2123,2134,2150,0,2146,2136,1656,2100,2104,1610,2127,2086,2046,2130,2034,1947,2120,2139,2140,2004,2079,2136,2126,1660,1665,1776,1908,716,2066,1950,1935,2139,2151,1834,1674,1941,2035,2131,1840,2137,370,1757,1484,2112,2082,1964,2111,2094,2131,1628,1397,2147,1988,2098,1998,1937,2081,1982,2110,1542,2109,1873,2127,2128,2116,2147,2036,2014,2084,1828,2043,2138,2136,1954,2041,1830,2083,2128,2151,1574,2024,2118,1666,1849,1930,2125,1863,1814,1799,1717,1974,1840,1535,1999
"CAMB_UW152101_S459",2411,2765,2710,2802,2832,2847,2146,0,2763,1872,2745,2759,1798,2816,2728,2590,2813,2578,2366,2786,2826,2805,2489,2663,2831,2806,1887,1894,2029,2332,725,2672,2418,2394,2821,2859,2190,1918,2360,2584,2827,2183,2835,371,2055,1631,2785,2686,2456,2763,2741,2798,1825,1511,2854,2448,2709,2487,2405,2676,2474,2763,1717,2738,2253,2825,2834,2792,2855,2604,2569,2701,2176,2635,2818,2848,2422,2556,2215,2710,2822,2857,1760,2559,2775,1933,2241,2382,2796,2257,2186,2130,1975,2475,2208,1679,2504
"CAMB_UW154478_S467",2381,2679,2642,2713,2740,2751,2136,2763,0,1865,2661,2683,1778,2732,2640,2532,2714,2527,2324,2702,2737,2725,2439,2593,2741,2719,1871,1883,2010,2285,732,2589,2383,2347,2728,2767,2153,1906,2316,2527,2729,2150,2736,375,2021,1625,2700,2621,2397,2686,2669,2716,1814,1510,2749,2392,2635,2435,2349,2604,2417,2677,1701,2661,2216,2729,2735,2696,2755,2536,2507,2624,2139,2562,2722,2747,2369,2494,2178,2631,2735,2760,1743,2489,2694,1906,2203,2335,2704,2212,2150,2092,1956,2421,2177,1683,2442
"CAMB_UW158238_S448",1757,1858,1843,1868,1872,1878,1656,1872,1865,0,1847,1846,1511,1862,1835,1808,1859,1807,1741,1854,1861,1864,1786,1830,1874,1863,1533,1551,1621,1716,697,1821,1756,1733,1871,1878,1671,1540,1734,1806,1857,1659,1863,370,1592,1377,1861,1825,1763,1864,1839,1858,1511,1321,1873,1789,1841,1781,1751,1831,1760,1845,1436,1845,1701,1862,1868,1854,1875,1791,1801,1833,1644,1803,1868,1867,1754,1793,1650,1827,1870,1878,1466,1798,1861,1527,1659,1743,1863,1669,1644,1639,1586,1760,1659,1468,1776
"CBOW_UW116034_S483",2367,2654,2616,2689,2715,2730,2100,2745,2661,1847,0,2663,1780,2706,2630,2521,2694,2506,2303,2681,2710,2696,2409,2567,2714,2694,1859,1874,1992,2270,725,2571,2354,2332,2713,2743,2146,1889,2303,2510,2710,2133,2718,371,2007,1616,2682,2589,2367,2664,2642,2693,1809,1495,2732,2374,2623,2425,2343,2584,2404,2659,1702,2649,2200,2710,2716,2681,2736,2520,2491,2605,2132,2549,2704,2728,2356,2475,2160,2603,2713,2735,1743,2478,2671,1903,2190,2329,2687,2210,2142,2084,1946,2404,2157,1673,2421
"CBOW_UW119291_S389",2367,2673,2642,2714,2744,2755,2104,2759,2683,1846,2663,0,1789,2723,2634,2522,2717,2518,2313,2699,2736,2719,2432,2580,2743,2713,1860,1882,1999,2282,731,2586,2366,2345,2725,2756,2155,1902,2316,2521,2731,2141,2738,376,2016,1613,2710,2617,2385,2679,2673,2716,1812,1506,2747,2382,2629,2412,2354,2584,2401,2678,1706,2650,2211,2726,2728,2686,2754,2539,2505,2619,2134,2558,2719,2741,2370,2488,2183,2621,2726,2758,1751,2482,2691,1915,2201,2317,2707,2214,2154,2084,1957,2413,2177,1683,2435
"CCAN_UW152005_S458",1699,1780,1785,1793,1798,1804,1610,1798,1778,1511,1780,1789,0,1794,1765,1750,1783,1746,1684,1790,1796,1790,1736,1764,1802,1792,1491,1515,1583,1667,704,1763,1693,1681,1800,1805,1628,1520,1671,1742,1795,1619,1795,369,1559,1375,1793,1764,1688,1784,1781,1796,1481,1311,1802,1714,1779,1719,1694,1760,1713,1775,1415,1776,1646,1792,1789,1788,1801,1754,1741,1769,1597,1752,1799,1800,1696,1727,1616,1754,1800,1805,1446,1732,1794,1507,1611,1683,1793,1628,1594,1589,1547,1694,1616,1432,1731
"CCOL_UW119446_3_S392",2394,2721,2676,2761,2797,2805,2127,2816,2732,1862,2706,2723,1794,0,2685,2559,2767,2555,2348,2754,2789,2770,2456,2628,2798,2777,1872,1891,2017,2314,734,2635,2407,2374,2783,2818,2178,1908,2343,2557,2780,2165,2788,376,2042,1631,2753,2651,2423,2727,2712,2766,1820,1514,2801,2419,2673,2459,2380,2639,2446,2732,1709,2695,2240,2781,2785,2742,2807,2577,2534,2663,2160,2603,2773,2797,2408,2519,2196,2667,2779,2815,1749,2529,2748,1924,2229,2358,2751,2241,2158,2105,1964,2454,2195,1683,2468
"CCOM_UW113669_S480",2339,2644,2606,2676,2699,2711,2086,2728,2640,1835,2630,2634,1765,2685,0,2502,2678,2477,2300,2661,2692,2682,2399,2568,2699,2676,1852,1858,1985,2258,720,2563,2341,2326,2698,2723,2134,1877,2298,2493,2695,2129,2708,373,2005,1606,2670,2571,2362,2635,2624,2673,1790,1495,2716,2368,2601,2408,2330,2563,2387,2648,1685,2623,2187,2691,2702,2665,2721,2507,2479,2586,2115,2536,2689,2710,2337,2453,2146,2586,2691,2721,1730,2461,2648,1895,2170,2313,2672,2184,2121,2076,1938,2392,2156,1660,2421
