Contaminated sample	Contaminating source	Percentage of contaminated pair(%)	Contaminated pair	All pair	Contaminating source->Contaminated sample	Contaminated Sample->Contaminating Source
AJOR_UW153152_S416?	AOPE_UW159762_S478?	10.04	235	2341	0	0
AJOR_UW153152_S416?	ATAN_UW150813_S404?	19.21	460	2394	0	0
AJOR_UW153152_S416	AUNA_UW150790_S402	20.32	489	2407	186	67
AJOR_UW153152_S416	AUNA_UW150804_S403	20.94	507	2421	177	77
AJOR_UW153152_S416?	AUNG_UW111933_S440?	11.26	221	1963	0	0
AJOR_UW153152_S416	CAMB_UW152101_S459	14.81	357	2411	107	86
AJOR_UW153152_S416	CAMB_UW154478_S467	12.94	308	2381	91	73
AJOR_UW153152_S416	CAMB_UW158238_S448	10.36	182	1757	68	26
AJOR_UW153152_S416	CBOW_UW116034_S483	10.31	244	2367	62	59
AJOR_UW153152_S416	CBOW_UW119291_S389	11.83	280	2367	67	62
AJOR_UW153152_S416?	CCAN_UW152005_S458?	9.83	167	1699	0	0
AJOR_UW153152_S416?	CCOL_UW119446_3_S392?	13.70	328	2394	0	0
AJOR_UW153152_S416?	CCOM_UW113669_S480?	12.10	283	2339	0	0
AJOR_UW153152_S416?	CCUR_UW153150_S469?	10.64	242	2275	0	0
AJOR_UW153152_S416	CCYC_UW150847_S408	3.64	87	2393	32	24
CCYC_UW151026_S409	AJOR_UW153152_S416	11.26	257	2283	178	33
AJOR_UW153152_S416	CCYP_UW117988_S445	9.70	206	2124	48	44
CCYP_UW119289_S388	AJOR_UW153152_S416	13.95	333	2387	89	63
AJOR_UW153152_S416	CECT_UW150772_S401	13.54	325	2401	93	57
AJOR_UW153152_S416	CECT_UW153151_S464	12.54	300	2393	89	55
AJOR_UW153152_S416	CFAU_UW117078_S443	8.43	185	2194	37	35
CFAU_UW156084_S475	AJOR_UW153152_S416	12.94	298	2303	131	43
AJOR_UW153152_S416	CFUR_UW119389_2_S391	13.70	330	2408	120	60
AJOR_UW153152_S416	CFUR_UW150838_S405	13.71	329	2399	124	53
AJOR_UW153152_S416	CGIL_UW154885_S425	14.63	261	1784	71	63
AJOR_UW153152_S416	CGIL_UW154932_S427	13.15	236	1794	66	55
AJOR_UW153152_S416?	CIAC_FAKU145603_S449?	9.43	178	1887	0	0
AJOR_UW153152_S416?	CLER_UW117918_S444?	10.55	220	2086	0	0
AJOR_UW153152_S416?	CLYC_UW159763_S468?	10.34	75	725	0	0
AJOR_UW153152_S416	CMEL_UW150588_S399	13.65	315	2307	100	51
AJOR_UW153152_S416	CMEL_UW153307_2_S418	14.28	310	2171	102	66
AJOR_UW153152_S416	CMEL_UW154677_S424	14.37	308	2144	98	67
AJOR_UW153152_S416?	COST_UW49435_S479?	12.03	288	2395	0	0
AJOR_UW153152_S416?	CPHA_UW151261_S457?	13.29	321	2416	0	0
AJOR_UW153152_S416	CSCO_UW151302_S411	12.45	252	2024	66	56
AJOR_UW153152_S416	CSCO_UW151304_S412	14.44	262	1814	76	71
AJOR_UW153152_S416	CSIM_UW154482_2_S421	14.76	314	2127	92	80
AJOR_UW153152_S416	CSIM_UW154482_3_S422	12.00	273	2275	91	46
CSPA_UW154503_S471	AJOR_UW153152_S416	10.94	262	2395	62	60
AJOR_UW153152_S416	CSPA_UW155710_S430	13.06	261	1999	69	63
CSPA_UW158306_S477	AJOR_UW153152_S416	12.94	311	2404	74	68
AJOR_UW153152_S416?	CSPM_UW155719_S413?	14.17	53	374	0	0
CSTA_UW119196_S386	AJOR_UW153152_S416	12.55	237	1889	53	51
CSTA_UW155711_S387	AJOR_UW153152_S416	12.70	198	1559	66	47
AJOR_UW153152_S416	ECAU_UW119593_2_S394	12.44	298	2396	100	57
AJOR_UW153152_S416	ECAU_UW119593_S393	13.87	322	2321	104	70
EORB_UW119821_S397	AJOR_UW153152_S416	6.75	147	2178	67	45
AJOR_UW153152_S416	EORB_UW151223_S410	3.95	94	2382	34	27
AJOR_UW153152_S416	ETRE_UW150845_2_S406	14.38	340	2364	121	66
AJOR_UW153152_S416	ETRE_UW150845_3_S407	13.18	316	2397	104	57
LCAL_UW157321_S432	AJOR_UW153152_S416	12.42	216	1739	60	36
LCAL_UW158059_S447	AJOR_UW153152_S416	10.08	146	1449	37	27
