Contaminated sample	Contaminating source	Percentage of contaminated pair(%)	Contaminated pair	All pair	Contaminating source->Contaminated sample	Contaminated Sample->Contaminating Source
AJOR_UW153152_S416?	AOPE_UW159762_S478?	10.04	235	2341	0	0
CAMB_UW152101_S459	AJOR_UW153152_S416	14.81	357	2411	90	80
CAMB_UW154478_S467	AJOR_UW153152_S416	12.94	308	2381	85	66
CAMB_UW158238_S448	AJOR_UW153152_S416	10.36	182	1757	42	28
AJOR_UW153152_S416?	CBOW_UW116034_S483?	10.31	244	2367	53	53
CBOW_UW119291_S389	AJOR_UW153152_S416	11.83	280	2367	67	64
CCAN_UW152005_S458	AJOR_UW153152_S416	9.83	167	1699	72	28
CCOL_UW119446_3_S392	AJOR_UW153152_S416	13.70	328	2394	85	71
CCOM_UW113669_S480	AJOR_UW153152_S416	12.10	283	2339	121	49
AJOR_UW153152_S416?	CCUR_UW153150_S469?	10.64	242	2275	0	0
AJOR_UW153152_S416	CCYC_UW150847_S408	3.64	87	2393	29	27
CCYC_UW151026_S409	AJOR_UW153152_S416	11.26	257	2283	198	26
CCYP_UW117988_S445	AJOR_UW153152_S416	9.70	206	2124	57	42
CCYP_UW119289_S388	AJOR_UW153152_S416	13.95	333	2387	83	80
AJOR_UW153152_S416	CECT_UW150772_S401	13.54	325	2401	90	81
AJOR_UW153152_S416	CECT_UW153151_S464	12.54	300	2393	82	65
CFAU_UW117078_S443	AJOR_UW153152_S416	8.43	185	2194	63	30
CFAU_UW156084_S475	AJOR_UW153152_S416	12.94	298	2303	157	40
CFUR_UW119389_2_S391	AJOR_UW153152_S416	13.70	330	2408	83	81
AJOR_UW153152_S416?	CFUR_UW150838_S405?	13.71	329	2399	84	84
CGIL_UW154885_S425	AJOR_UW153152_S416	14.63	261	1784	72	62
CGIL_UW154932_S427	AJOR_UW153152_S416	13.15	236	1794	67	55
CIAC_FAKU145603_S449	AJOR_UW153152_S416	9.43	178	1887	68	33
CLER_UW117918_S444	AJOR_UW153152_S416	10.55	220	2086	68	42
AJOR_UW153152_S416?	CLYC_UW159763_S468?	10.34	75	725	0	0
AJOR_UW153152_S416	CMEL_UW150588_S399	13.65	315	2307	80	68
CMEL_UW153307_2_S418	AJOR_UW153152_S416	14.28	310	2171	74	70
AJOR_UW153152_S416	CMEL_UW154677_S424	14.37	308	2144	80	78
COST_UW49435_S479	AJOR_UW153152_S416	12.03	288	2395	81	66
CPHA_UW151261_S457	AJOR_UW153152_S416	13.29	321	2416	107	72
CSCO_UW151302_S411	AJOR_UW153152_S416	12.45	252	2024	65	55
CSCO_UW151304_S412	AJOR_UW153152_S416	14.44	262	1814	69	63
CSIM_UW154482_2_S421	AJOR_UW153152_S416	14.76	314	2127	83	71
AJOR_UW153152_S416	CSIM_UW154482_3_S422	12.00	273	2275	75	63
CSPA_UW154503_S471	AJOR_UW153152_S416	10.94	262	2395	63	55
CSPA_UW155710_S430	AJOR_UW153152_S416	13.06	261	1999	71	66
CSPA_UW158306_S477	AJOR_UW153152_S416	12.94	311	2404	85	69
AJOR_UW153152_S416?	CSPM_UW155719_S413?	14.17	53	374	0	0
CSTA_UW119196_S386	AJOR_UW153152_S416	12.55	237	1889	104	42
CSTA_UW155711_S387	AJOR_UW153152_S416	12.70	198	1559	88	40
AJOR_UW153152_S416	ECAU_UW119593_2_S394	12.44	298	2396	74	68
AJOR_UW153152_S416	ECAU_UW119593_S393	13.87	322	2321	79	73
EORB_UW119821_S397	AJOR_UW153152_S416	6.75	147	2178	68	43
AJOR_UW153152_S416	EORB_UW151223_S410	3.95	94	2382	33	31
AJOR_UW153152_S416	ETRE_UW150845_2_S406	14.38	340	2364	90	68
AJOR_UW153152_S416	ETRE_UW150845_3_S407	13.18	316	2397	80	64
LCAL_UW157321_S432	AJOR_UW153152_S416	12.42	216	1739	112	30
LCAL_UW158059_S447	AJOR_UW153152_S416	10.08	146	1449	59	24
LCUR_UW44503_3_S438	AJOR_UW153152_S416	6.90	166	2407	56	41
LCUR_UW44504_S439	AJOR_UW153152_S416	7.82	169	2161	73	31
AJOR_UW153152_S416?	LCYC_UW151759_S455?	8.78	205	2335	0	0
LDEN_UW155676_4_S473	AJOR_UW153152_S416	11.48	254	2213	77	68
AJOR_UW153152_S416	LDEN_UW155676_5_S429	17.04	369	2166	138	81
LFAB_UW153118_S462	AJOR_UW153152_S416	9.84	227	2308	85	48
LFAB_UW153122_S463	AJOR_UW153152_S416	9.53	207	2173	63	57
LFLE_UW119829_S398	AJOR_UW153152_S416	11.63	275	2365	65	47
LFLE_UW159752_S433	AJOR_UW153152_S416	13.13	213	1622	63	53
LFLO_UW151666_S454	AJOR_UW153152_S416	6.16	145	2354	60	26
