total	4431

Sample	Num. of enriched genes	Percentage of enriched genes(%)
AJOR_UW153152_S416	2576	58.14
AJOR_UW155714_S474	3175	71.65
AOPE_UW159762_S478	3011	67.95
ATAN_UW150813_S404	3221	72.69
AUNA_UW150790_S402	3369	76.03
AUNA_UW150804_S403	3401	76.75
AUNG_UW111933_S440	2289	51.66
CAMB_UW152101_S459	3753	84.70
CAMB_UW154478_S467	3141	70.89
CAMB_UW158238_S448	1981	44.71
CBOW_UW116034_S483	3128	70.59
CBOW_UW119291_S389	3161	71.34
CCAN_UW152005_S458	1871	42.23
CCOL_UW119446_3_S392	3254	73.44
CCOM_UW113669_S480	3086	69.65
CCUR_UW153150_S469	2858	64.50
CCYC_UW150847_S408	3597	81.18
CCYC_UW151026_S409	2834	63.96
CCYP_UW117988_S445	2602	58.72
CCYP_UW119289_S388	3168	71.50
CECT_UW150772_S401	3333	75.22
CECT_UW153151_S464	3292	74.29
CFAU_UW117078_S443	2799	63.17
CFAU_UW156084_S475	2996	67.61
CFUR_UW119389_2_S391	3310	74.70
CFUR_UW150838_S405	3240	73.12
CGIL_UW154885_S425	1961	44.26
CGIL_UW154932_S427	1960	44.23
CIAC_FAKU145603_S449	2178	49.15
CLER_UW117918_S444	2567	57.93
CLYC_UW159763_S468	743	16.77
CMEL_UW150588_S399	3069	69.26
CMEL_UW153307_2_S418	2605	58.79
CMEL_UW154677_S424	2583	58.29
COST_UW49435_S479	3304	74.57
CPHA_UW151261_S457	3535	79.78
CSCO_UW151302_S411	2303	51.97
CSCO_UW151304_S412	2006	45.27
CSIM_UW154482_2_S421	2529	57.08
CSIM_UW154482_3_S422	2840	64.09
CSPA_UW154503_S471	3389	76.48
CSPA_UW155710_S430	2314	52.22
CSPA_UW158306_S477	3398	76.69
CSPM_UW155719_S413	382	8.62
CSTA_UW119196_S386	2213	49.94
CSTA_UW155711_S387	1709	38.57
ECAU_UW119593_2_S394	3198	72.17
ECAU_UW119593_S393	3037	68.54
EORB_UW119821_S397	2838	64.05
EORB_UW151223_S410	3416	77.09
ETRE_UW150845_2_S406	3112	70.23
ETRE_UW150845_3_S407	3260	73.57
LCAL_UW157321_S432	1902	42.92
LCAL_UW158059_S447	1577	35.59
LCUR_UW44503_3_S438	3628	81.88
LCUR_UW44504_S439	2715	61.27
LCYC_UW151759_S455	3080	69.51
LDEN_UW155676_4_S473	2717	61.32
LDEN_UW155676_5_S429	2598	58.63
LFAB_UW153118_S462	3030	68.38
LFAB_UW153122_S463	2728	61.57
LFLE_UW119829_S398	3163	71.38
LFLE_UW159752_S433	1792	40.44
LFLO_UW151666_S454	3140	70.86
LFUC_UW155026_S428	2386	53.85
LGIB_UW153834_2_S466	3391	76.53
LGIB_UW153834_S465	3476	78.45
LGRE_UW112669_S441	3453	77.93
LMAR_UW153108_S461	3604	81.34
LMAR_UW153127_S415	2891	65.24
LNAN_UW119179_2_S452	2913	65.74
LNAN_UW119179_3_S453	3068	69.24
LOCH_UW49438_S434	2379	53.69
LPUL_UW115848_S482	2929	66.10
LSIM_UW44502_S437	3454	77.95
LTUN_UW153126_S456	3496	78.90
LTUN_UW154464_S420	2617	59.06
NPEL_UW155470_S472	2880	65.00
PALB_UW151419_S414	2379	53.69
PCEP_UW153529_S470	3216	72.58
PCOP_UW118898_S451	3325	75.04
PDAC_UW153045_S460	3468	78.27
PDAC_UW154897_S426	1818	41.03
PGAR_UW118897_S446	2936	66.26
PGRA_UW119304_S390	3147	71.02
PGRA_UW155715_S431	2015	45.48
PHOL_UW153155_S417	2451	55.31
PMEN_UW115470_S481	2585	58.34
PMEN_UW150606_S400	3312	74.75
PPEC_UW153526_2_S423	2448	55.25
PPEN_UW119192_S385	2330	52.58
PPTY_UW116036_S442	2305	52.02
PROS_UW153323_S419	2050	46.26
PULO_UW119776_S395	2682	60.53
PULO_UW119777_S396	2378	53.67
RATT_UW116039_S450	1735	39.16
RBAR_UW157184_S476	2750	62.06
