Sample	Aver. captured length(bp)	Aver. GC content(%)	Captured loci number
AJOR_UW153152_S416	391.42	0.56	2323
AJOR_UW155714_S474	425.80	0.56	2646
AOPE_UW159762_S478	485.26	0.56	2577
ATAN_UW150813_S404	472.06	0.56	2680
AUNA_UW150790_S402	509.24	0.56	2722
AUNA_UW150804_S403	511.59	0.56	2740
AUNG_UW111933_S440	352.60	0.56	2074
CAMB_UW152101_S459	545.92	0.56	2752
CAMB_UW154478_S467	455.17	0.56	2651
CAMB_UW158238_S448	336.51	0.55	1813
CBOW_UW116034_S483	446.03	0.56	2620
CBOW_UW119291_S389	475.93	0.56	2650
CCAN_UW152005_S458	350.50	0.55	1736
CCOL_UW119446_3_S392	516.44	0.56	2704
CCOM_UW113669_S480	426.29	0.56	2603
CCUR_UW153150_S469	385.18	0.56	2470
CCYC_UW150847_S408	512.99	0.55	2757
CCYC_UW151026_S409	458.18	0.56	2470
CCYP_UW117988_S445	369.20	0.56	2291
CCYP_UW119289_S388	505.66	0.56	2680
CECT_UW150772_S401	499.50	0.56	2709
CECT_UW153151_S464	472.85	0.56	2687
CFAU_UW117078_S443	366.71	0.55	2415
CFAU_UW156084_S475	402.84	0.56	2546
CFUR_UW119389_2_S391	502.82	0.56	2721
CFUR_UW150838_S405	517.42	0.56	2692
CGIL_UW154885_S425	352.12	0.55	1819
CGIL_UW154932_S427	352.17	0.55	1825
CIAC_FAKU145603_S449	351.70	0.55	1958
CLER_UW117918_S444	353.27	0.56	2255
CLYC_UW159763_S468	340.47	0.54	710
CMEL_UW150588_S399	405.31	0.56	2572
CMEL_UW153307_2_S418	391.58	0.56	2316
CMEL_UW154677_S424	400.25	0.56	2295
COST_UW49435_S479	505.51	0.56	2712
CPHA_UW151261_S457	516.85	0.56	2741
CSCO_UW151302_S411	374.90	0.55	2117
CSCO_UW151304_S412	361.08	0.55	1853
CSIM_UW154482_2_S421	406.40	0.56	2257
CSIM_UW154482_3_S422	430.09	0.56	2492
CSPA_UW154503_S471	455.31	0.56	2707
CSPA_UW155710_S430	373.16	0.56	2102
CSPA_UW158306_S477	456.80	0.56	2714
CSPM_UW155719_S413	283.66	0.54	362
CSTA_UW119196_S386	347.48	0.56	1992
CSTA_UW155711_S387	342.69	0.55	1587
ECAU_UW119593_2_S394	470.47	0.56	2686
ECAU_UW119593_S393	437.53	0.56	2579
EORB_UW119821_S397	371.35	0.55	2400
EORB_UW151223_S410	499.67	0.55	2701
ETRE_UW150845_2_S406	483.06	0.56	2624
ETRE_UW150845_3_S407	515.62	0.56	2683
LCAL_UW157321_S432	353.75	0.55	1774
LCAL_UW158059_S447	336.81	0.55	1454
LCUR_UW44503_3_S438	499.61	0.56	2720
LCUR_UW44504_S439	358.76	0.56	2358
LCYC_UW151759_S455	437.75	0.56	2594
LDEN_UW155676_4_S473	379.71	0.56	2383
LDEN_UW155676_5_S429	390.44	0.56	2317
LFAB_UW153118_S462	399.47	0.56	2559
LFAB_UW153122_S463	375.53	0.56	2391
LFLE_UW119829_S398	487.46	0.56	2650
LFLE_UW159752_S433	339.57	0.55	1678
LFLO_UW151666_S454	446.71	0.56	2617
LFUC_UW155026_S428	377.25	0.56	2168
LGIB_UW153834_2_S466	487.39	0.56	2692
LGIB_UW153834_S465	490.85	0.56	2711
LGRE_UW112669_S441	418.94	0.56	2672
LMAR_UW153108_S461	503.31	0.56	2728
LMAR_UW153127_S415	441.98	0.56	2484
LNAN_UW119179_2_S452	396.77	0.56	2469
LNAN_UW119179_3_S453	404.17	0.56	2591
LOCH_UW49438_S434	358.22	0.56	2100
LPUL_UW115848_S482	418.45	0.56	2527
LSIM_UW44502_S437	460.59	0.56	2688
LTUN_UW153126_S456	503.24	0.57	2718
LTUN_UW154464_S420	414.17	0.56	2330
NPEL_UW155470_S472	382.96	0.56	2462
Oreochromis_niloticus	200.60	0.52	2897
PALB_UW151419_S414	361.85	0.55	2145
PCEP_UW153529_S470	397.72	0.56	2604
PCOP_UW118898_S451	479.21	0.56	2713
PDAC_UW153045_S460	530.91	0.56	2738
PDAC_UW154897_S426	346.57	0.55	1701
PGAR_UW118897_S446	369.16	0.56	2458
PGRA_UW119304_S390	519.43	0.56	2656
PGRA_UW155715_S431	371.58	0.56	1867
PHOL_UW153155_S417	366.22	0.55	2165
PMEN_UW115470_S481	371.87	0.56	2283
PMEN_UW150606_S400	428.36	0.56	2714
PPEC_UW153526_2_S423	367.73	0.56	2178
PPEN_UW119192_S385	361.90	0.56	2099
PPTY_UW116036_S442	341.34	0.56	2040
PROS_UW153323_S419	356.43	0.55	1907
PULO_UW119776_S395	403.00	0.56	2367
PULO_UW119777_S396	369.58	0.56	2130
RATT_UW116039_S450	351.48	0.55	1619
RBAR_UW157184_S476	382.30	0.56	2394
