Row Labels	Average of Percentage of contaminated pair(%)	Count of Percentage of contaminated pair(%)
AJOR_UW153152_S416	11.54	22
AJOR_UW153152_S416?	10.55	18
AJOR_UW155714_S474	12.52	32
AJOR_UW155714_S474?	11.40	16
AOPE_UW159762_S478?	11.05	94
ATAN_UW150813_S404	16.11	26
ATAN_UW150813_S404?	11.46	16
AUNA_UW150790_S402	15.43	25
AUNA_UW150790_S402?	11.96	18
AUNA_UW150804_S403	15.46	15
AUNA_UW150804_S403?	12.31	16
AUNG_UW111933_S440	10.97	27
AUNG_UW111933_S440?	10.59	17
CAMB_UW152101_S459	14.51	32
CAMB_UW152101_S459?	13.18	15
CAMB_UW154478_S467	13.22	32
CAMB_UW154478_S467?	12.03	15
CAMB_UW158238_S448	10.95	46
CAMB_UW158238_S448?	10.86	15
CBOW_UW116034_S483	11.07	19
CBOW_UW116034_S483?	10.61	15
CBOW_UW119291_S389	12.04	17
CBOW_UW119291_S389?	10.45	15
CCAN_UW152005_S458	11.62	71
CCAN_UW152005_S458?	10.85	16
CCOL_UW119446_3_S392	13.57	27
CCOL_UW119446_3_S392?	10.97	16
CCOM_UW113669_S480	13.21	70
CCOM_UW113669_S480?	11.15	15
CCUR_UW153150_S469?	10.95	81
CCYC_UW150847_S408	2.81	35
CCYC_UW150847_S408?	3.14	16
CCYC_UW151026_S409	11.83	79
CCYC_UW151026_S409?	10.91	14
CCYP_UW117988_S445	11.14	46
CCYP_UW117988_S445?	10.69	14
CCYP_UW119289_S388	15.88	17
CCYP_UW119289_S388?	11.81	16
CECT_UW150772_S401	10.72	6
CECT_UW150772_S401?	10.23	15
CECT_UW153151_S464	10.08	5
CECT_UW153151_S464?	10.39	15
CFAU_UW117078_S443	9.20	60
CFAU_UW117078_S443?	8.20	14
CFAU_UW156084_S475	13.35	71
CFAU_UW156084_S475?	11.29	14
CFUR_UW119389_2_S391	14.31	24
CFUR_UW119389_2_S391?	11.79	14
CFUR_UW150838_S405	14.63	18
CFUR_UW150838_S405?	11.55	14
CGIL_UW154885_S425	14.28	44
CGIL_UW154885_S425?	11.20	14
CGIL_UW154932_S427	12.74	49
CGIL_UW154932_S427?	10.62	14
CIAC_FAKU145603_S449	9.95	70
CIAC_FAKU145603_S449?	9.02	14
CLER_UW117918_S444	11.71	49
CLER_UW117918_S444?	10.73	15
CLYC_UW159763_S468?	11.43	66
CMEL_UW150588_S399	12.75	23
CMEL_UW150588_S399?	10.19	15
CMEL_UW153307_2_S418	12.40	28
CMEL_UW153307_2_S418?	11.12	14
CMEL_UW154677_S424	15.03	16
CMEL_UW154677_S424?	11.24	14
COST_UW49435_S479	15.23	45
COST_UW49435_S479?	10.62	14
CPHA_UW151261_S457	15.74	53
CPHA_UW151261_S457?	11.49	14
CSCO_UW151302_S411	12.96	46
CSCO_UW151302_S411?	10.22	13
CSCO_UW151304_S412	14.76	46
CSCO_UW151304_S412?	11.39	13
CSIM_UW154482_2_S421	14.06	32
