Name,# Nucleotide Sequences With Mates,# Nucleotides,# Sequences,%GC,Created Date,Description,Imported From: Filename,Imported From: Path,Max Sequence Length,Min Sequence Length,Modified,SequenceListOrderingRevisionNumber,Size,URN
Danio_rerio.1.28199081.28201810,0,3891,2,53.2%,Thu Jul 02 10:26:12 PDT 2020,,Danio_rerio.1.28199081.28201810.fas,F:\Temnocora\Exon\assemble_result\nf,2058,1833,Thu Jul 02 10:26:12 PDT 2020,0,5 KB,urn:local:.:26-c44npfp
Danio_rerio.2.13540557.13540680,0,246,2,54.5%,Thu Jul 02 10:26:35 PDT 2020,,Danio_rerio.2.13540557.13540680.fas,F:\Temnocora\Exon\assemble_result\nf,123,123,Thu Jul 02 10:26:35 PDT 2020,0,1 KB,urn:local:.:1hx-c44nr85
Danio_rerio.3.32053353.32053508,0,279,2,63.1%,Thu Jul 02 10:26:43 PDT 2020,,Danio_rerio.3.32053353.32053508.fas,F:\Temnocora\Exon\assemble_result\nf,153,126,Thu Jul 02 10:26:43 PDT 2020,0,1 KB,urn:local:.:28i-c44nruj
Danio_rerio.5.34112386.34112600,0,420,2,65.2%,Thu Jul 02 10:26:46 PDT 2020,,Danio_rerio.5.34112386.34112600.fas,F:\Temnocora\Exon\assemble_result\nf,213,207,Thu Jul 02 10:26:46 PDT 2020,0,1 KB,urn:local:.:2g3-c44ns2b
Danio_rerio.6.37750492.37750676,0,327,2,56.0%,Thu Jul 02 10:26:48 PDT 2020,,Danio_rerio.6.37750492.37750676.fas,F:\Temnocora\Exon\assemble_result\nf,177,150,Thu Jul 02 10:26:48 PDT 2020,0,1 KB,urn:local:.:2m3-c44ns78
Danio_rerio.8.13636131.13636394,0,504,2,57.3%,Thu Jul 02 10:26:50 PDT 2020,,Danio_rerio.8.13636131.13636394.fas,F:\Temnocora\Exon\assemble_result\nf,252,252,Thu Jul 02 10:26:50 PDT 2020,0,1 KB,urn:local:.:2sx-c44nscw
Danio_rerio.9.31632729.31633340,0,414,2,65.7%,Thu Jul 02 10:26:52 PDT 2020,,Danio_rerio.9.31632729.31633340.fas,F:\Temnocora\Exon\assemble_result\nf,222,192,Thu Jul 02 10:26:52 PDT 2020,0,1 KB,urn:local:.:2zu-c44nsip
Danio_rerio.9.39445949.39443144,0,2178,2,56.3%,Thu Jul 02 10:26:53 PDT 2020,,Danio_rerio.9.39445949.39443144.fas,F:\Temnocora\Exon\assemble_result\nf,1092,1086,Thu Jul 02 10:26:53 PDT 2020,0,3 KB,urn:local:.:320-c44nskh
Danio_rerio.10.36271933.36270412,0,1722,2,60.8%,Thu Jul 02 10:26:21 PDT 2020,,Danio_rerio.10.36271933.36270412.fas,F:\Temnocora\Exon\assemble_result\nf,864,858,Thu Jul 02 10:26:21 PDT 2020,0,2 KB,urn:local:.:7x-c44nq51
Danio_rerio.12.36552255.36552112,0,288,2,53.8%,Thu Jul 02 10:26:24 PDT 2020,,Danio_rerio.12.36552255.36552112.fas,F:\Temnocora\Exon\assemble_result\nf,144,144,Thu Jul 02 10:26:24 PDT 2020,0,1 KB,urn:local:.:gf-c44nqc9
