Locus	Aver. coding region length(bp)	Aver. flanking region length(bp)	Alignment length(bp)	Aver. GC content(%)	Missing data(%)	Pairwise distance
Danio_rerio.1.10132455.10132285	168.13	145.33	171	64.83	1.68	0.04
Danio_rerio.1.18281190.18281339	144.00	156.67	150	55.02	4.00	0.02
Danio_rerio.1.18281431.18281553	121.36	234.64	123	51.42	1.34	0.02
Danio_rerio.1.18292940.18293133	191.40	236.53	192	60.94	0.31	0.01
Danio_rerio.1.18296121.18296321	200.94	232.39	201	61.03	0.03	0.02
Danio_rerio.1.2038201.2038419	219.00	270.82	219	61.25	0.00	0.02
Danio_rerio.1.2040248.2040380	131.09	240.01	132	61.09	0.69	0.02
Danio_rerio.1.2043611.2043783	169.33	265.48	171	64.45	0.97	0.02
Danio_rerio.1.2045437.2045559	118.41	233.15	120	51.71	1.33	0.02
Danio_rerio.1.23414339.23414830	364.88	242.04	372	63.39	1.91	0.02
Danio_rerio.1.24661957.24662154	197.83	314.61	198	47.32	0.09	0.01
Danio_rerio.1.25002370.25002537	164.84	296.81	165	52.29	0.09	0.01
Danio_rerio.1.27017867.27018101	199.57	202.88	201	50.63	0.71	0.03
Danio_rerio.1.27027674.27028223	545.51	267.38	552	58.44	1.18	0.04
Danio_rerio.1.27854395.27854247	146.57	292.78	147	61.13	0.29	0.01
Danio_rerio.1.27854882.27854746	124.78	139.14	129	64.52	3.27	0.02
Danio_rerio.1.29798667.29798499	166.29	232.21	168	52.05	1.02	0.05
Danio_rerio.1.31116778.31116951	173.72	232.81	174	53.39	0.16	0.02
Danio_rerio.1.34298180.34298015	164.18	226.48	165	59.10	0.49	0.03
Danio_rerio.1.34312197.34312072	122.88	254.95	123	51.55	0.10	0.04
Danio_rerio.1.34312560.34312379	106.81	233.28	108	57.80	1.10	0.01
Danio_rerio.1.35295365.35295668	301.16	238.61	303	60.03	0.61	0.02
Danio_rerio.1.35520156.35520299	139.87	247.76	141	48.93	0.80	0.01
Danio_rerio.1.36478631.36478483	143.03	165.22	147	48.57	2.70	0.02
Danio_rerio.1.42238686.42238912	222.18	264.00	225	56.81	1.25	0.02
Danio_rerio.1.42241149.42241322	170.51	202.23	174	50.13	2.00	0.03
Danio_rerio.1.44070566.44070840	215.76	263.00	216	58.61	0.11	0.03
Danio_rerio.1.46310620.46310764	137.79	281.08	138	55.15	0.16	0.01
Danio_rerio.1.46410167.46410317	146.22	43.58	150	64.43	2.52	0.02
Danio_rerio.1.46924955.46925121	160.73	186.29	165	61.93	2.58	0.03
Danio_rerio.1.46934761.46934950	182.66	192.30	186	60.08	1.79	0.02
Danio_rerio.1.47116698.47116488	188.10	205.89	189	58.53	0.47	0.04
Danio_rerio.1.48377268.48377429	117.63	231.20	120	52.09	1.97	0.03
Danio_rerio.1.48788.48665	121.64	141.56	123	58.52	1.11	0.04
Danio_rerio.1.53848151.53848280	128.41	238.02	129	55.84	0.45	0.02
Danio_rerio.1.54205436.54204965	122.60	198.93	123	60.41	0.33	0.02
Danio_rerio.1.54644075.54644233	155.63	283.31	156	55.74	0.24	0.01
Danio_rerio.1.54754556.54754699	142.74	190.19	144	54.79	0.87	0.02
Danio_rerio.1.582997.582839	158.91	255.08	162	50.15	1.91	0.05
Danio_rerio.1.60038803.60039032	133.45	247.14	135	50.64	1.15	0.02
Danio_rerio.1.688057.687910	143.44	225.91	144	62.64	0.39	0.05
Danio_rerio.1.7720335.7718759	281.91	229.26	285	61.51	1.09	0.03
Danio_rerio.1.80848.80644	202.75	253.17	204	59.97	0.61	0.04
Danio_rerio.1.9507290.9506238	367.00	60.00	402	61.43	8.71	0.14
Danio_rerio.1.9648896.9648770	121.27	153.11	123	56.46	1.41	0.03
Danio_rerio.10.11300795.11300598	193.24	203.32	198	64.36	2.40	0.07
Danio_rerio.10.11325041.11325192	149.85	278.74	150	52.17	0.10	0.03
Danio_rerio.10.11740007.11740197	187.79	280.21	189	58.83	0.64	0.03
Danio_rerio.10.11775399.11775184	214.76	140.23	216	68.25	0.57	0.05
