"gene_name","taxa_included","identical_sequences"
"Danio_rerio.1.10132455.10132285.fas","69","230"
"Danio_rerio.1.18281190.18281339.fas","50","271"
"Danio_rerio.1.18281431.18281553.fas","83","877"
"Danio_rerio.1.18292940.18293133.fas","94","506"
"Danio_rerio.1.18296121.18296321.fas","96","257"
"Danio_rerio.1.2038201.2038419.fas","94","300"
"Danio_rerio.1.2040248.2040380.fas","85","861"
"Danio_rerio.1.2043611.2043783.fas","62","389"
"Danio_rerio.1.2045437.2045559.fas","80","267"
"Danio_rerio.1.23414339.23414830.fas","50","92"
"Danio_rerio.1.24661957.24662154.fas","87","719"
"Danio_rerio.1.25002370.25002537.fas","96","1410"
"Danio_rerio.1.27017867.27018101.fas","68","222"
"Danio_rerio.1.27027674.27028223.fas","56","10"
"Danio_rerio.1.27854395.27854247.fas","96","2937"
"Danio_rerio.1.27854882.27854746.fas","85","928"
"Danio_rerio.1.29798667.29798499.fas","83","77"
"Danio_rerio.1.31116778.31116951.fas","96","802"
"Danio_rerio.1.34298180.34298015.fas","91","248"
"Danio_rerio.1.34312197.34312072.fas","95","769"
"Danio_rerio.1.34312560.34312379.fas","80","1472"
"Danio_rerio.1.35295365.35295668.fas","88","50"
"Danio_rerio.1.35520156.35520299.fas","82","779"
"Danio_rerio.1.36478631.36478483.fas","58","703"
"Danio_rerio.1.42238686.42238912.fas","81","505"
"Danio_rerio.1.42241149.42241322.fas","73","127"
"Danio_rerio.1.44070566.44070840.fas","97","196"
"Danio_rerio.1.46310620.46310764.fas","97","2788"
"Danio_rerio.1.46410167.46410317.fas","68","301"
"Danio_rerio.1.46924955.46925121.fas","82","195"
"Danio_rerio.1.46934761.46934950.fas","70","104"
"Danio_rerio.1.47116698.47116488.fas","96","186"
"Danio_rerio.1.48377268.48377429.fas","70","819"
"Danio_rerio.1.48788.48665.fas","85","531"
"Danio_rerio.1.53848151.53848280.fas","86","1084"
"Danio_rerio.1.54205436.54204965.fas","89","972"
"Danio_rerio.1.54644075.54644233.fas","97","1130"
"Danio_rerio.1.54754556.54754699.fas","80","611"
"Danio_rerio.1.582997.582839.fas","95","881"
"Danio_rerio.1.60038803.60039032.fas","82","1046"
"Danio_rerio.1.688057.687910.fas","96","514"
"Danio_rerio.1.7720335.7718759.fas","64","116"
"Danio_rerio.1.80848.80644.fas","76","108"
"Danio_rerio.1.9507290.9506238.fas","59","16"
"Danio_rerio.1.9648896.9648770.fas","70","284"
"Danio_rerio.10.11300795.11300598.fas","93","179"
"Danio_rerio.10.11325041.11325192.fas","96","338"
"Danio_rerio.10.11740007.11740197.fas","93","123"
"Danio_rerio.10.11775399.11775184.fas","86","127"
"Danio_rerio.10.11775672.11775490.fas","72","309"
"Danio_rerio.10.13108255.13108128.fas","59","93"
"Danio_rerio.10.1635981.1635790.fas","97","453"
"Danio_rerio.10.16958509.16958629.fas","96","497"
"Danio_rerio.10.23337334.23337142.fas","96","56"
"Danio_rerio.10.27291922.27292085.fas","95","88"
"Danio_rerio.10.30654206.30654020.fas","84","204"
"Danio_rerio.10.30666863.30667049.fas","89","411"
"Danio_rerio.10.30800297.30799991.fas","95","511"
"Danio_rerio.10.32015598.32014865.fas","64","4"
"Danio_rerio.10.33338435.33338270.fas","96","711"
"Danio_rerio.10.33420270.33420109.fas","77","589"
"Danio_rerio.10.34604673.34604840.fas","93","262"
"Danio_rerio.10.6742138.6742289.fas","96","353"
"Danio_rerio.10.6749249.6749396.fas","63","113"
"Danio_rerio.10.7200645.7200505.fas","94","398"
"Danio_rerio.11.10899241.10899116.fas","94","1613"
"Danio_rerio.11.10908119.10908000.fas","97","749"
"Danio_rerio.11.1320459.1320338.fas","86","1570"
"Danio_rerio.11.1354895.1354739.fas","94","655"
"Danio_rerio.11.14342376.14342155.fas","93","224"
"Danio_rerio.11.14353302.14353733.fas","77","342"
"Danio_rerio.11.16233723.16233931.fas","66","86"
"Danio_rerio.11.16256857.16257008.fas","75","626"
"Danio_rerio.11.16543041.16543291.fas","52","98"
"Danio_rerio.11.16968253.16968716.fas","70","31"
"Danio_rerio.11.18258004.18257861.fas","96","1849"
"Danio_rerio.11.19924211.19924416.fas","97","103"
"Danio_rerio.11.19926261.19926406.fas","85","195"
"Danio_rerio.11.23200485.23200305.fas","58","313"
"Danio_rerio.11.2584367.2584488.fas","78","1106"
"Danio_rerio.11.28623332.28622919.fas","68","206"
"Danio_rerio.11.28697579.28697189.fas","57","64"
"Danio_rerio.11.3328880.3327408.fas","61","0"
"Danio_rerio.11.37306870.37306718.fas","97","2169"
"Danio_rerio.11.3960955.3960836.fas","94","1080"
"Danio_rerio.11.42133756.42134630.fas","78","8"
"Danio_rerio.11.43601905.43600930.fas","53","9"
"Danio_rerio.12.1220536.1220416.fas","59","353"
"Danio_rerio.12.12299299.12299464.fas","92","345"
"Danio_rerio.12.14813631.14813815.fas","94","608"
"Danio_rerio.12.14814302.14814448.fas","95","1562"
"Danio_rerio.12.14818610.14818744.fas","86","521"
"Danio_rerio.12.14821486.14821635.fas","96","814"
"Danio_rerio.12.14887893.14888055.fas","67","272"
"Danio_rerio.12.15290963.15290817.fas","49","531"
"Danio_rerio.12.15555860.15555996.fas","86","546"
"Danio_rerio.12.15572131.15572277.fas","96","455"
"Danio_rerio.12.15572384.15572533.fas","75","354"
